timestamp,headline,source
2026-06-19,Struggling to find a job? Try looking in Nevada,CNBC_LIVE_FEED
2026-06-19,"Hormuz relief may not ease the economic toll that's already 'baked in,' analysts warn",CNBC_LIVE_FEED
2026-06-19,"Trump claims Iran deal is 'unconditional surrender,' says his power has 'no limits': Axios ",CNBC_LIVE_FEED
2026-06-18,Bank of England holds interest rates at 3.75% amid Iran war peace prospects,CNBC_LIVE_FEED
2026-06-18,Here are the five big takeaways from Kevin Warsh's first meeting as Fed chairman,CNBC_LIVE_FEED
2026-06-17,UK inflation holds steady at 2.8% in May,CNBC_LIVE_FEED
2026-06-17,Three Iranian tankers exit U.S. blockade for first time in months as shipowners eye Hormuz in 'wary disbelief',CNBC_LIVE_FEED
2026-06-12,UK economy shrank 0.1% in April as Iran conflict weighed on growth,CNBC_LIVE_FEED
2026-06-12,A Chinese start-up's unfolding dilemma exposes cracks in Beijing's tech funding machine,CNBC_LIVE_FEED
2026-06-11,"Wholesale prices rose 1.1% in May, more than expected, on surge in energy",CNBC_LIVE_FEED
2026-06-11,ECB hikes interest rates for first time since 2023 as Iran war ramps up energy costs,CNBC_LIVE_FEED
2026-06-10,"Consumer prices rose 4.2% annually in May, highest in three years",CNBC_LIVE_FEED
2026-06-11,Energy prices take center stage as the ECB prepares to decide on rates,CNBC_LIVE_FEED
2026-06-09,The May inflation numbers are due out Wednesday morning. Here's what to expect,CNBC_LIVE_FEED
2026-06-08,"Household worries over finances hit highest level since July 2022, New York Fed survey shows",CNBC_LIVE_FEED
2026-06-04,The May jobs report will be released Friday. Here's what to expect,CNBC_LIVE_FEED
2026-06-04,Long-term unemployment is surging in the U.S. There are hidden costs for workers and the economy,CNBC_LIVE_FEED
2026-06-03,"Private payrolls grew by 122,000 in May, stronger than expected, ADP reports",CNBC_LIVE_FEED
2026-06-04,U.S. proposes fresh tariffs on 60 economies over forced labor trade practices ,CNBC_LIVE_FEED
2026-06-03,"U.S., Iran intensify attacks as ceasefire frays, peace talks stall",CNBC_LIVE_FEED
2026-06-02,"Job openings in April surged to 7.6 million, the highest in nearly two years ",CNBC_LIVE_FEED
2026-06-02,Inflation hits 3.2% in the euro zone as Iran war pushes energy costs higher,CNBC_LIVE_FEED
2026-05-29,Iran war cost: Average U.S. household paying $450 more on gas and energy,CNBC_LIVE_FEED
2026-05-29,How the ‘double scar’ of past inflation woes and geopolitical shocks amid the Iran war is hitting consumers,CNBC_LIVE_FEED
2026-05-28,"Core inflation hit an annual rate of 3.3% in April, as expected, Fed’s preferred gauge shows",CNBC_LIVE_FEED
2026-05-28,"Energy inflation has been more persistent than expected, Fed's Goolsbee tells CNBC",CNBC_LIVE_FEED
2026-05-28,Fed’s Kashkari tells CNBC that inflation fight takes priority as labor market is 'in decent shape',CNBC_LIVE_FEED
2026-05-26,"ECB 'will do what is necessary' to tame inflation, Bank of France governor tells CNBC",CNBC_LIVE_FEED
2026-05-23,Americans are feeling inflation's pinch into the holiday weekend. Here's where prices are rising the most,CNBC_LIVE_FEED
2026-05-22,Consumer sentiment hits fresh record low in May as Iran war fuels inflation worries,CNBC_LIVE_FEED
